headline,abstract,emotion,subject,emotVal,date
Point 1: We Had Fun. Point 2: It's Over. Point 3: Get Lost.,"LAST spring I broke up with someone perfect. Perfectly, that is. Last spring I broke up with someone perfectly. I set out exactly which aspects of our relationship were lacking and why, meticulously charted our decline, and pared months of frustration and disillusionment to a succinct set of woes, all without uttering a word.      It was the most orderly way I'd ever ended a relationship and the first time I'd walked away from a breakup feeling richer for it. All told, it was a source of great personal satisfaction and accomplishment, until the moment it dawned on me that I hadn't managed to pull it off.  ",joy,15,0.06359527525964233,2005-11-27
Mother Must Muzzle the Nuzzle,Linda Baker Modern Love article on strong physical bonds she has with her children and altering hugging and similar behavior as children get older; drawing (M),joy,16,0.16186664022121994,2005-12-04
A Bad Case of Puppy Love,"ALLY lived in Santa Monica. A mutual friend had fixed us up on a blind date. She said Ally was smart and fun. I said I appreciated the gesture, but I had my hands full. The mutual friend lowered her voice and added, ''She has a terrific body.'' With that, my schedule cleared up, and I made a date.     I found Ally's condo and rang her doorbell. A pretty woman with a bounty of dark curls greeted me. She stuck out her hand, introduced herself and smiled. She had a great set of Chiclets.   ",joy,19,0.4033031145424038,2005-06-05
"Beyond Divorce and Even Death, a Promise Kept","IT'S done: I've finally finished moving my ex-husband's belongings back into the large, cluttered farmhouse we used to share. He won't be coming back, but his shirts once again weigh down the closet rack, his boxes of household gadgets and financial files clog the attic and basement, and the furniture that wouldn't fit into the house now fills the third bay of the car barn.    Three years ago our marriage was ending. Corey and I had ''outgrown'' each other, shorthand for the malaise that had entered our marriage and despite our best efforts wouldn't leave. We were still friends; we didn't have big fights. All in all we'd had a pretty good marriage, and so we'd spent a lot of time discussing the necessity of divorcing.   ",joy,2,0.10849752474862907,2005-06-12
"Beyond Divorce and Even Death, a Promise Kept","IT'S done: I've finally finished moving my ex-husband's belongings back into the large, cluttered farmhouse we used to share. He won't be coming back, but his shirts once again weigh down the closet rack, his boxes of household gadgets and financial files clog the attic and basement, and the furniture that wouldn't fit into the house now fills the third bay of the car barn.    Three years ago our marriage was ending. Corey and I had ''outgrown'' each other, shorthand for the malaise that had entered our marriage and despite our best efforts wouldn't leave. We were still friends; we didn't have big fights. All in all we'd had a pretty good marriage, and so we'd spent a lot of time discussing the necessity of divorcing.   ",sadness,2,0.07810601805857167,2005-06-12
"Who's That Lady in the Bedroom, Daddy?","I HEAR them before they come in, all thumps and frantic whispers in the hall outside my bedroom. Then the door opens just enough for their shoulders and elbows to jostle through as they compete to be first, followed by the melody of my own personal alarm clock: ''Daddy. It's 7 o'clock.''    That's my daughter, who's 6. She climbs onto the bed and presses her face next to mine.   ",fear,17,0.09338322676189255,2005-06-19
"Who's That Lady in the Bedroom, Daddy?","I HEAR them before they come in, all thumps and frantic whispers in the hall outside my bedroom. Then the door opens just enough for their shoulders and elbows to jostle through as they compete to be first, followed by the melody of my own personal alarm clock: ''Daddy. It's 7 o'clock.''    That's my daughter, who's 6. She climbs onto the bed and presses her face next to mine.   ",anger,17,0.053141034384708866,2005-06-19
Froky Doesn't Play Around Here Anymore,"I WAS playing with my friend's toddler recently, taunting him with an animal voice: ''Grrrr, get over here. I'm a hungry tiger, and you're one tiny mouse!''     He tumbled and squealed, ''Again!''   ",fear,21,0.09517795769580405,2005-07-10
Froky Doesn't Play Around Here Anymore,"I WAS playing with my friend's toddler recently, taunting him with an animal voice: ''Grrrr, get over here. I'm a hungry tiger, and you're one tiny mouse!''     He tumbled and squealed, ''Again!''   ",anger,21,0.05894818895281846,2005-07-10
The New Nanny Diaries Are Online,"OUR former nanny, a 26-year-old former teacher with excellent references, liked to touch her breasts while reading The New Yorker and often woke her lovers in the night by biting them. She took sleeping pills, joked about offbeat erotic fantasies involving Tucker Carlson and determined she'd had more female sexual partners than her boyfriend.     How do I know these things? I read her blog.   ",joy,17,0.13219984637072107,2005-07-17
R We D8ting?,"THE orange message light on my cellphone started blinking as I was getting ready for bed. Barely an hour had passed since our quick kiss goodnight at the subway, and I was surprised to see the screen light up with the initials I'd just entered into my phone. It wasn't voice mail; it was a text message, and it made me smile.    U miss me? ;-)  ",joy,22,0.20958186151785949,2005-07-24
R We D8ting?,"THE orange message light on my cellphone started blinking as I was getting ready for bed. Barely an hour had passed since our quick kiss goodnight at the subway, and I was surprised to see the screen light up with the initials I'd just entered into my phone. It wasn't voice mail; it was a text message, and it made me smile.    U miss me? ;-)  ",surprise,22,0.06237028153541066,2005-07-24
Out From Under the Influence,"MY first date with Julie did not begin well and ended even worse. For starters, I didn't show. It was Saturday evening of Presidents' Day weekend, and I was drinking gin and tonics and watching hoops in the Telephone Bar on Second Avenue, whiling away the time before I was supposed to meet her at John's Pizzeria just down the block. The next thing I knew it was hours later, and the phone was waking me from my slumber in my apartment on East 12th Street.    I stumbled out of the building and ran to John's, where Julie ended up crying defiantly on the sidewalk, her words lost to me but their meaning clear: never again.  ",sadness,23,0.14257665913368728,2005-07-31
"Here's Looking at You, Kid","I woke up happy one morning, not taxed by too much work, not depressed, not sleep deprived. But my brain, forever searching for something to worry about, could not let this placid moment be and quickly started an argument with an imaginary boyfriend.     ''No,'' I insisted, ''You are not moving in. Things are good the way they are, and I'm not moving any of my stuff around to make room for yours. I don't need a man in my house or my life.''  ",joy,24,0.3265767714266823,2005-08-07
"Here's Looking at You, Kid","I woke up happy one morning, not taxed by too much work, not depressed, not sleep deprived. But my brain, forever searching for something to worry about, could not let this placid moment be and quickly started an argument with an imaginary boyfriend.     ''No,'' I insisted, ''You are not moving in. Things are good the way they are, and I'm not moving any of my stuff around to make room for yours. I don't need a man in my house or my life.''  ",surprise,24,0.09463760811224621,2005-08-07
"Here's Looking at You, Kid","I woke up happy one morning, not taxed by too much work, not depressed, not sleep deprived. But my brain, forever searching for something to worry about, could not let this placid moment be and quickly started an argument with an imaginary boyfriend.     ''No,'' I insisted, ''You are not moving in. Things are good the way they are, and I'm not moving any of my stuff around to make room for yours. I don't need a man in my house or my life.''  ",fear,24,0.05,2005-08-07
A Go-Between Gets Going,"I MET Krista after an abrupt breakup with a live-in boyfriend. I needed a new place to live, and responding to an ad, I found refuge in what felt like the Brooklyn Annex for Aging Spinsters, an apartment of three women between 33 and 40, nursing various sorrows and set in our various irritating ways. Krista was one of my new roommates.     At first I was nervous around her; she was a serious Christian to my skittish heathen, with a mother who expressed hopes that she find ''a nice Christian boy.'' But she wasn't the roommate who insisted on a sign-up sheet for the shower, and soon I found myself liking her: she was intelligent, vulnerable and kind. I spilled my stories of dejection. And she told me about Marcus.  ",joy,8,0.06369837368884138,2005-08-14
Stand by Your (Marlboro) Man,''THAT'S your husband?'' asked a woman I'd just met.    I nodded.   ,joy,8,0.2178166503183875,2005-08-21
Stand by Your (Marlboro) Man,''THAT'S your husband?'' asked a woman I'd just met.    I nodded.   ,surprise,8,0.06246346959828659,2005-08-21
Three Men and a Woman,"ANGELINA and I are in an art gallery that doubles as a dance club. A D.J. stands on a sheet of plywood over milk crates playing house music with a heavy bass line. It's still afternoon but already there are a few office workers here loosening their ties, putting their earrings back in.     With us is Tristan. He and Angelina have known each other 15 years, since high school. He has flushed cheeks, feminine features, wears black jeans and a leather jacket. He helps Angelina clean, shop, run chores, carries her things. Angelina refers to Tristan as her pockets. Tristan refers to Angelina as his girlfriend. Girlfriend, he feels, comes closest to summing up their relationship.  ",surprise,26,0.07264635493531155,2005-09-04
DJ's Homeless Mommy,"THERE was no guarantee that doing an open adoption would get us a baby any faster than doing a closed or foreign adoption. In fact, our agency warned us that, as a gay male couple, we might be in for a long wait. This point was driven home when both birth mothers who spoke at the two-day open adoption seminar we were required to attend said that finding ''good, Christian homes'' for their babies was their first concern.      But we decided to go ahead and try to do an open adoption anyway. If we became parents, we wanted our child's biological parents to be a part of his life.  ",surprise,17,0.06485749826963076,2005-09-11
DJ's Homeless Mommy,"THERE was no guarantee that doing an open adoption would get us a baby any faster than doing a closed or foreign adoption. In fact, our agency warned us that, as a gay male couple, we might be in for a long wait. This point was driven home when both birth mothers who spoke at the two-day open adoption seminar we were required to attend said that finding ''good, Christian homes'' for their babies was their first concern.      But we decided to go ahead and try to do an open adoption anyway. If we became parents, we wanted our child's biological parents to be a part of his life.  ",sadness,17,0.055242440962162166,2005-09-11
DJ’s Homeless Mommy,"There was no guarantee an open adoption would get us a baby any faster than a closed or foreign adoption, but we decided to try to do it anyway.",surprise,11,0.11088255148983292,2005-09-11
My Dinners With Andrew,"I WAS in my favorite restaurant again, everything in its place except for the empty seat across from me. I never minded eating alone, though I'd long experienced shared meals, especially really great ones, as the ultimate intimacy.     Since my breakup with Andrew three months before I'd been avoiding the neighborhood, but a dermatology appointment had brought me uptown, and I wondered what had changed. And anyway it was a Tuesday, perfect for sushi.  ",sadness,27,0.06058327816311731,2005-09-18
Something Like Motherhood,"I'M driving my niece and nephew to the Museum of Science. At the end of our outing, when I take them home, their father -- my brother John -- will tell them that their mother's latest cancer treatment has failed and that she will die. But for now my niece, who's 9, rifles through my glove compartment and discovers a tampon. She tears open the wrapper, ejects the tampon and begins swinging it by the string.     ''What's this?''  ",sadness,28,0.06443402248707983,2005-09-25
"Researching Jenna, Discovering Myself","''WHY do you think Jenna left me?'' I asked friends and family, pen and paper in hand. I admit it looked silly, and it felt silly, too. But my psychotherapist had urged me to start writing down my conversations with people about what had happened with Jenna (instead of, as she put it, ''just letting the wheels spin''), and I had decided to follow her advice. Enough with the endless whimpering. Time for some hard-nosed research.      Of course I also hoped I might find an answer. I certainly wasn't having much luck staring at my ceiling night after night, sleepless and distraught. And Jenna had proved to be a poor source of information since she'd stopped returning my calls.  ",joy,27,0.07962488474667052,2005-10-02
"So Handsome, So Clever, So Gone","LOEFFLER was my trophy intellectual. We met at a party, where he hovered around my conversational circle for a while and then came up to me and asked, ''Are you with someone?''      ''Yes,'' I said. I'd come with my office mate, another editor.  ",joy,29,0.09086080178227092,2005-10-09
"So Handsome, So Clever, So Gone","LOEFFLER was my trophy intellectual. We met at a party, where he hovered around my conversational circle for a while and then came up to me and asked, ''Are you with someone?''      ''Yes,'' I said. I'd come with my office mate, another editor.  ",surprise,29,0.05928973032874509,2005-10-09
"So Handsome, So Clever, So Gone","LOEFFLER was my trophy intellectual. We met at a party, where he hovered around my conversational circle for a while and then came up to me and asked, ''Are you with someone?''      ''Yes,'' I said. I'd come with my office mate, another editor.  ",fear,29,0.05039384232810771,2005-10-09
I Need to Woman Up and Do This on My Own,Asha Bandele Modern Love Column describes falling in love and marrying convicted murderer while he was still in prison; talks about fears and difficulties she encountered when visiting her husband and why she chose to end marriage after she gave birth to their daughter; drawing (M),joy,30,0.2619302582679687,2006-03-19
I Need to Woman Up and Do This on My Own,Asha Bandele Modern Love Column describes falling in love and marrying convicted murderer while he was still in prison; talks about fears and difficulties she encountered when visiting her husband and why she chose to end marriage after she gave birth to their daughter; drawing (M),surprise,30,0.09410090099064962,2006-03-19
I Need to Woman Up and Do This on My Own,Asha Bandele Modern Love Column describes falling in love and marrying convicted murderer while he was still in prison; talks about fears and difficulties she encountered when visiting her husband and why she chose to end marriage after she gave birth to their daughter; drawing (M),sadness,30,0.09154852065676769,2006-03-19
I Need to Woman Up and Do This on My Own,Asha Bandele Modern Love Column describes falling in love and marrying convicted murderer while he was still in prison; talks about fears and difficulties she encountered when visiting her husband and why she chose to end marriage after she gave birth to their daughter; drawing (M),fear,30,0.05861790210149588,2006-03-19
The Day the House Blew Up,"Ronald K Fried Modern Love column on his and his wife's love for their Greenport, NY, home and their love for neighbor's cat and how they all survived propane explosion and fire that destroyed the house; drawing (M)",joy,31,0.12323972002722801,2006-03-26
The Day the House Blew Up,"Ronald K Fried Modern Love column on his and his wife's love for their Greenport, NY, home and their love for neighbor's cat and how they all survived propane explosion and fire that destroyed the house; drawing (M)",surprise,31,0.10789198084090593,2006-03-26
Rancho Paradise Lost,Sybil Raney Modern Love column on her ill-fated romance with real Texas cowboy; drawing (M),joy,32,0.19274405494776573,2006-04-02
"I Was Between Husbands, He Was Between Cupcakes",Margo Howard Modern Love column discusses her relationship with philandering married man; drawing,joy,33,0.3130423286642096,2006-04-09
"I Was Between Husbands, He Was Between Cupcakes",Margo Howard Modern Love column discusses her relationship with philandering married man; drawing,surprise,33,0.06786945544782756,2006-04-09
This Is Where the Dog Comes In,Sheila Kohler Modern Love essay on being cat person who falls in love with dog; notes that she and her second husband got dog to help her bond with her stepsons; drawing (M),joy,34,0.1967659267618434,2006-04-16
This Is Where the Dog Comes In,Sheila Kohler Modern Love essay on being cat person who falls in love with dog; notes that she and her second husband got dog to help her bond with her stepsons; drawing (M),surprise,34,0.11049538641431592,2006-04-16
A Reality Show for Couples Therapy? Sign Us Up,"Liv Osthus, sex writer, stripper and musician, describes preliminary interview with producers for reality show that will center around couples therapy; says that sex life with her husband is less prolific than many would think; explores how career built on sexual fantasy, like stripping, does not necessarily translate to reality of long-term relationship; drawing (M)",joy,35,0.22496956490287262,2006-04-23
Now for a Quick Lesson in International Relations,Evan Ratliff Modern Love article recalls brief friendship with young Muslim policewoman in Bangladesh; drawing (M),joy,27,0.1715921315057205,2006-04-30
Now for a Quick Lesson in International Relations,Evan Ratliff Modern Love article recalls brief friendship with young Muslim policewoman in Bangladesh; drawing (M),surprise,27,0.0691340934811037,2006-04-30
Losing My Way Has Been a Way of Life for Me,"I have often joked to friends that I married my husband for his sense of direction. And since I met him, the scope of my travels has expanded greatly.",joy,36,0.29737441009348864,2006-05-07
Losing My Way Has Been a Way of Life for Me,"I have often joked to friends that I married my husband for his sense of direction. And since I met him, the scope of my travels has expanded greatly.",surprise,36,0.05838724959480832,2006-05-07
Losing My Way Has Been a Way of Life for Me,"Michele Herman Modern Love essay on her husband's unerring sense of direction during their world travels, except for one treasured moment for her when he got lost on highway in New Jersey and turned to her for help; drawing (M)",surprise,37,0.0662554697399109,2006-05-07
Losing My Way Has Been a Way of Life for Me,"Michele Herman Modern Love essay on her husband's unerring sense of direction during their world travels, except for one treasured moment for her when he got lost on highway in New Jersey and turned to her for help; drawing (M)",joy,37,0.06447339061443114,2006-05-07
"A Winter of Discontent, Then Along Comes Baby",The part of me that wanted to die simply crawled off into the woods and never came back.,sadness,38,0.14282635784718675,2006-05-14
"A Winter of Discontent, Then Along Comes Baby",The part of me that wanted to die simply crawled off into the woods and never came back.,fear,38,0.09414267795452236,2006-05-14
"A Winter of Discontent, Then Along Comes Baby","Katherine Ozment Modern Love essay recalls giving birth to son on cold winter's day in Chicago, and her love for him today, three years later in snowless California (M)",joy,18,0.1421936207545742,2006-05-14
"Changing My Feminist Mind, One Man at a Time",J Courtney Sullivan Modern Love essay on dating and falling in love with man who understands and respects her feminist beliefs; drawing (M),joy,40,0.23249268154238306,2006-05-21
"Changing My Feminist Mind, One Man at a Time",J Courtney Sullivan Modern Love essay on dating and falling in love with man who understands and respects her feminist beliefs; drawing (M),surprise,40,0.05905260068955239,2006-05-21
"Mom, Dad, Let Me Find My Own Husband",I couldn't let my parents arrange my Indian marriage from Indiana. I would have to find my own suitable boy. Or perhaps even an unsuitable one.,joy,41,0.13073520451025844,2006-05-28
"Mom, Dad, Let Me Find My Own Husband",Sarita James Modern Love article on her parents' attempts to find her 'suitable boy' to marry who is both Indian and Catholic; drawing (M),joy,42,0.19510899924582134,2006-05-28
"Mom, Dad, Let Me Find My Own Husband",Sarita James Modern Love article on her parents' attempts to find her 'suitable boy' to marry who is both Indian and Catholic; drawing (M),surprise,42,0.06944863311004978,2006-05-28
Paradise Lost (Domestic Division),"Terry Martin Hekker, author of book Ever Since Adam and Eve, which touts woman's right to be homemaker, describes what it is like to have your husband leave you and be divorced at age 60; holds that few women of her generation are prepared to enter or reenter work force at age which is near retirement for many; suggests that women who marry today are better prepared to handle future; drawing (M)",joy,43,0.19997276698868427,2006-01-01
"A Passion for the Movies? Yes, Yes ... Yes!",Lainie Keslin Ettinger describes how solo outings to see romantic comedies reinvigorated her sex life with her husband; drawing (M),joy,35,0.2534048245669597,2006-01-08
A Devotion That Eclipsed the Family,"MY sister e-mailed me the death notice from The Seattle Times with just this cryptic note: ''Make sure you read all the way to the bottom.''     The subject was Roy Maus, 75, a former Boeing executive and passionate sports fisherman who had died peacefully on board his boat, the Sanlino, at Shilshole Bay Marina. His Boeing career was recapped, as were his favorite fishing destinations, from the San Juan Islands to the Skagit River.  ",joy,44,0.057908083060662356,2006-01-15
"So He Looked Like Dad. It Was Just Dinner, Right?",Abby Sher Modern Love column on dating an older man who reminded her of her father; drawing (M),joy,8,0.16695813579939836,2006-01-22
Two Decembers: Loss and Redemption,"My mother’s madness seeped in so quietly that my father was able to ignore it, believing that it would get better on its own.",joy,0,0.08898467959569979,2006-01-29
"Mélange à Trois: Me, Him ... and the Stuff",Heather Fenby Modern Love column on clutter and chaos her boyfriend brought into her life when she let him move into her tiny apartment; drawing (M),joy,45,0.13223751009386323,2006-02-05
"You're Not Sick, You're Just in Love","Daniel Jones Modern Love column gives overall observations about love, sex and dating in 21st century compiled from many letters and e-mails sent to columnist; drawing (M)",joy,0,0.20315734475972155,2006-02-12
"You're Not Sick, You're Just in Love","Daniel Jones Modern Love column gives overall observations about love, sex and dating in 21st century compiled from many letters and e-mails sent to columnist; drawing (M)",surprise,0,0.05856966651411746,2006-02-12
"Loved and Lost? It's O.K., Especially if You Win",Veronica Chambers Modern Love column says it is all right to be clingy and desperate when dating men who are just not that into you because they are simply preparing you for the one who is into you; drawing (M),joy,46,0.09320501622610497,2006-02-19
"Loved and Lost? It's O.K., Especially if You Win",Veronica Chambers Modern Love column says it is all right to be clingy and desperate when dating men who are just not that into you because they are simply preparing you for the one who is into you; drawing (M),surprise,46,0.08134154154479312,2006-02-19
Now I Need a Place to Hide Away,"My daughter was a Beatles fan by the time she was five, and she had already fallen for John.",joy,0,0.11302808976608887,2006-02-26
Now I Need a Place to Hide Away,"My daughter was a Beatles fan by the time she was five, and she had already fallen for John.",sadness,0,0.06343758057425646,2006-02-26
A Girl Could Get Cornered in a Tiny House,Xeni Fragakis Modern Love column on brief romance she had with man who lives in house he built himself that is 8 feet by 12 feet; drawing (M),joy,47,0.18307637667650964,2006-03-05
A Girl Could Get Cornered in a Tiny House,Xeni Fragakis Modern Love column on brief romance she had with man who lives in house he built himself that is 8 feet by 12 feet; drawing (M),surprise,47,0.07492693083077823,2006-03-05
"When You Wish Upon a Saint, Watch What You Ask For",An unmarried Jewish woman makes an offering to Santa Rita in a Roman Catholic cathedral in Italy.,joy,27,0.08370231277000036,2006-06-04
"When You Wish Upon a Saint, Watch What You Ask For","Linda Dackman Modern Love article describes how prayer to Santa Rita, patron saint of desperate or impossible causes, is answered; finds love in Florence, Italy; drawing (M)",joy,48,0.07610568755698617,2006-06-04
Strung Out on Love and Checked In for Treatment,"In 12-step confessional style, this is what love addiction did to my life: I dropped out of college, quit my job, stopped talking to my family and friends and contemplated suicide.",surprise,3,0.11853882216520852,2006-06-11
Strung Out on Love and Checked In for Treatment,"In 12-step confessional style, this is what love addiction did to my life: I dropped out of college, quit my job, stopped talking to my family and friends and contemplated suicide.",joy,3,0.109504596440791,2006-06-11
Strung Out on Love and Checked In for Treatment,"In 12-step confessional style, this is what love addiction did to my life: I dropped out of college, quit my job, stopped talking to my family and friends and contemplated suicide.",sadness,3,0.06989414415969054,2006-06-11
Strung Out on Love and Checked In for Treatment,Rachel Yoder Modern Love article describes her journey from partner in unhealthy addictive relationship to path of self-discovery through therapy and nasty break-up; drawing (M),joy,3,0.11349535325877538,2006-06-11
Strung Out on Love and Checked In for Treatment,Rachel Yoder Modern Love article describes her journey from partner in unhealthy addictive relationship to path of self-discovery through therapy and nasty break-up; drawing (M),surprise,3,0.05565369169951108,2006-06-11
Diary of a Soldier's Wife: Tie-Dye and Camo Don't Mix,How I mutated from Gandhi Girl to Army Wife.,fear,49,0.1328516772795455,2006-06-18
Diary of a Soldier's Wife: Tie-Dye and Camo Don't Mix,How I mutated from Gandhi Girl to Army Wife.,joy,49,0.12334816321432446,2006-06-18
Diary of a Soldier's Wife: Tie-Dye and Camo Don't Mix,How I mutated from Gandhi Girl to Army Wife.,surprise,49,0.058365833999681566,2006-06-18
Diary of a Soldier's Wife: Tie-Dye and Camo Don't Mix,Sophia Raday Modern Love article on being anti-war pacifist married to police officer and Army reservist who is due to be sent to Iraq; drawing (M),joy,50,0.21120224916155964,2006-06-18
Diary of a Soldier's Wife: Tie-Dye and Camo Don't Mix,Sophia Raday Modern Love article on being anti-war pacifist married to police officer and Army reservist who is due to be sent to Iraq; drawing (M),fear,50,0.20852284328235393,2006-06-18
Diary of a Soldier's Wife: Tie-Dye and Camo Don't Mix,Sophia Raday Modern Love article on being anti-war pacifist married to police officer and Army reservist who is due to be sent to Iraq; drawing (M),surprise,50,0.07758754455425149,2006-06-18
What Shamu Taught Me About a Happy Marriage,Amy Sutherland Modern Love column on using exotic animal training techniques to modify her husband's behavior; says after two years of training she finds her marraige smoother and her husband easier to love; says her husband got to employ technique against her when she got braces; drawing (M),joy,19,0.12618811695293497,2006-06-25
What Shamu Taught Me About a Happy Marriage,Amy Sutherland Modern Love column on using exotic animal training techniques to modify her husband's behavior; says after two years of training she finds her marraige smoother and her husband easier to love; says her husband got to employ technique against her when she got braces; drawing (M),fear,19,0.10185768410081499,2006-06-25
